,Student_ID,Time_Spent_On_App,Past_Grades,attendance_rate,time_spent_on_quiz,question_attemted,pass_fail,topic_difficulty,future_score,inactivity_score,poor_performance_score,inconsistent_engagement_score,study_hours_per_week,previous_failures,dropout
0,1,6.950454308788325,77,78,3.435478475037548,12,Pass,Low,97.36923507230198,51,62,56,4,1,1
1,2,5.42392160192125,90,74,3.796076167192299,38,Pass,Low,94.47411065408114,92,21,45,15,5,1
2,3,3.389582632669196,92,75,1.7680401515701178,18,Pass,Low,96.18787980597278,14,10,7,6,4,0
3,4,2.6481823993231237,29,71,2.376199840145074,45,Fail,High,73.40699973961117,71,57,9,0,2,0
4,5,0.4280036965508715,89,82,4.23333786043341,4,Pass,Low,95.47778067604904,60,56,72,8,4,0
5,6,2.4409365175837463,70,75,3.088657974549585,42,Pass,Low,81.87163454453653,20,76,66,17,0,0
6,7,4.629743665098694,68,61,2.6536339773586084,12,Pass,Low,85.38818584970537,82,3,10,2,1,0
7,8,6.658537098087828,23,69,3.3295504434430807,23,Fail,High,65.82600391545996,86,85,11,23,1,0
8,9,1.081397847312534,18,63,2.2120423998763608,43,Fail,High,61.19521180700397,74,6,9,27,1,0
9,10,7.853179420321564,73,50,1.393081061829036,27,Pass,Low,77.30160692910682,74,60,24,9,1,0
10,11,4.711176463656939,9,80,2.6438644442691883,6,Fail,High,65.08918494123621,87,53,48,8,5,0
11,12,4.364253381916806,27,97,2.477935495281546,19,Fail,High,71.64992527375685,99,87,48,12,2,0
12,13,9.829759866750887,35,99,4.920466921589147,22,Fail,High,73.20580294242981,23,67,88,34,3,0
13,14,3.4055797104309797,52,50,1.084741803365063,8,Pass,Medium,90.6140353736618,2,91,10,22,0,0
14,15,6.780691243751095,37,59,1.244277405511955,1,Fail,High,83.85987925054575,21,78,61,16,2,0
15,16,2.824949083806114,66,67,4.400241533803449,32,Pass,Low,84.44665375022964,52,0,35,6,4,0
16,17,2.237762026073696,81,89,0.9379744016758074,25,Pass,Low,90.07429127721916,1,54,38,15,3,1
17,18,1.4439404864780747,41,96,2.45905002014426,39,Pass,Medium,76.27141564069267,87,2,52,39,3,0
18,19,0.9648854136610464,22,97,1.4125530622608284,15,Fail,High,66.92819358274886,29,77,89,35,1,1
19,20,5.192159820364781,68,68,2.30741280880188,48,Pass,Low,85.85674602644139,37,37,77,19,2,0
20,21,3.3615892464982124,51,97,0.5531095714150258,33,Pass,Medium,79.8241417217209,1,0,55,23,4,0
21,22,3.112706878034132,26,61,3.726679585213259,17,Fail,High,73.5139546562776,63,37,0,4,1,1
22,23,3.143416337383192,30,78,1.6434737113832465,5,Fail,High,80.37659748412526,59,84,55,5,1,1
23,24,7.635783913238827,80,63,4.6458438731436456,46,Pass,Low,88.87391172058943,20,28,3,27,5,0
24,25,8.349372307021088,80,85,1.6547509583256304,22,Pass,Low,89.10545118031122,32,4,29,4,0,0
25,26,5.629932901473041,34,89,2.524628442926724,49,Fail,High,67.60201319339264,75,73,11,38,3,0
26,27,4.3034780543184805,100,86,3.14270953285549,42,Pass,Low,93.5421780305275,57,91,34,37,4,0
27,28,5.597281090994841,11,99,0.6138517048141834,27,Fail,High,67.39219355301297,21,20,76,1,3,0
28,29,9.850434460403092,11,75,3.6487646874371342,35,Fail,High,64.96242324780258,88,70,51,38,2,0
29,30,7.67229847277973,75,75,4.841842996890936,47,Pass,Low,89.84349102017396,48,66,30,20,0,1
30,31,4.421760335490569,94,56,0.5360429198629119,1,Pass,Low,94.93129956604466,90,46,86,39,1,0
31,32,1.5573248062420886,53,60,0.8481689338288761,1,Pass,Medium,73.95044693280882,58,83,67,36,0,1
32,33,1.5342358976809745,6,75,3.6076966769694496,28,Fail,High,69.11861457697353,41,82,51,17,1,0
33,34,6.437840455883872,96,61,0.4059098809896388,39,Pass,Low,104.00281178206592,91,34,79,11,0,0
34,35,4.868857548849758,12,57,3.725899993061077,40,Fail,High,68.9750847033607,59,67,6,16,1,1
35,36,5.980873228299939,5,60,0.6268229593657221,26,Fail,High,67.62193665778616,79,68,21,36,3,0
36,37,2.2005442852055723,74,90,3.872187969867503,21,Pass,Low,97.4259062049896,14,0,92,37,3,1
37,38,7.509825452360632,86,78,4.566886666409348,33,Pass,Low,95.50224549147283,61,67,74,14,3,0
38,39,2.9250765122300337,11,67,4.650062445123561,34,Fail,High,65.18336203435952,61,11,55,6,3,0
39,40,3.4564374510652742,16,83,4.407407057859028,5,Fail,High,59.58396742877052,46,59,96,13,0,0
40,41,6.644598896558703,99,82,0.7412911218773166,44,Pass,Low,104.9687310188312,61,26,57,0,1,0
41,42,5.51500723428587,78,93,4.645359315835156,8,Pass,Low,86.21209197435411,50,55,92,37,3,0
42,43,6.147205070069223,52,73,0.019380372263143,1,Pass,Medium,76.34634962299288,54,22,63,2,0,0
43,44,9.516287510267336,88,59,2.610278189907396,45,Pass,Low,89.56326940028742,63,24,11,36,1,0
44,45,9.837841850529252,16,53,1.6402942698077825,35,Fail,High,63.46411775818923,2,20,6,30,0,0
45,46,8.144171571523355,0,58,0.8694632967759852,47,Fail,High,65.09057207171512,100,60,54,12,5,1
46,47,6.931486750954464,38,91,2.799118610538592,13,Fail,High,69.65478984133307,50,62,61,17,3,0
47,48,3.406420442267488,68,84,2.4111879455739227,7,Pass,Low,80.66461893435981,6,51,89,16,2,1
48,49,4.13860852242033,19,83,0.8791480132556451,23,Fail,High,70.1558512577624,20,87,72,16,0,1
49,50,6.49788079347546,38,79,2.460359694948435,37,Fail,High,75.5871403517756,72,24,97,10,3,1
50,51,3.211075286135249,71,96,1.0334326373915776,24,Pass,Low,84.06572152701264,38,54,76,19,4,1
51,52,4.259496582704427,4,72,1.7970968801918608,25,Fail,High,61.70125786584036,17,45,54,9,1,1
52,53,9.613225586283129,52,92,0.2168871268562267,11,Pass,Medium,89.48306098268581,3,31,35,28,5,0
53,54,9.622534266889572,37,98,3.163151642091495,31,Fail,High,71.88560028016546,88,54,88,33,3,1
54,55,7.011468513800253,55,77,2.8553191870362045,1,Pass,Medium,85.08308165060097,59,95,23,16,4,0
55,56,1.2204895621049627,0,89,4.933150468982253,1,Fail,High,53.03343028293333,13,4,43,12,0,0
56,57,3.025424426541408,57,94,2.2361055342791185,25,Pass,Medium,88.05897514882362,8,35,16,38,0,0
57,58,3.913635456016534,56,70,1.62236271871952,47,Pass,Medium,77.3191615549351,89,48,1,26,4,0
58,59,1.7156694621510171,43,93,4.495019324306664,39,Pass,Medium,74.34858483651101,52,57,12,25,5,0
59,60,3.4304352294785714,17,64,4.056718042866996,14,Fail,High,72.1393707468026,1,38,30,27,4,0
60,61,6.625358470183235,71,85,3.9594904091255305,14,Pass,Low,82.40166487932193,83,79,92,12,1,1
61,62,2.837554834861554,62,100,2.091685660731708,36,Pass,Low,85.73663364414196,91,96,27,11,0,0
62,63,8.167424746066775,10,70,0.4243199408988857,26,Fail,High,66.57270874664658,59,84,59,27,4,0
63,64,9.091639891458868,72,86,1.737665133348583,40,Pass,Low,91.39523427264628,70,60,26,1,2,1
