Student_ID,Time_Spent_On_App,Past_Grades,attendance_rate,time_spent_on_quiz,question_attemted,pass_fail,topic_difficulty,future_score
1,6.950454308788325,77,78,3.435478475037548,12,Pass,Low,97.36923507230198
2,5.42392160192125,90,74,3.796076167192299,38,Pass,Low,94.47411065408114
3,3.389582632669196,92,75,1.7680401515701178,18,Pass,Low,96.18787980597278
4,2.6481823993231233,29,71,2.376199840145074,45,Fail,High,73.40699973961117
5,0.42800369655087156,89,82,4.23333786043341,4,Pass,Low,95.47778067604904
6,2.4409365175837463,70,75,3.0886579745495846,42,Pass,Low,81.87163454453653
7,4.629743665098694,68,61,2.6536339773586084,12,Pass,Low,85.38818584970537
8,6.658537098087828,23,69,3.3295504434430807,23,Fail,High,65.82600391545996
9,1.081397847312534,18,63,2.2120423998763608,43,Fail,High,61.19521180700397
10,7.853179420321564,73,50,1.3930810618290361,27,Pass,Low,77.30160692910682
11,4.711176463656939,9,80,2.6438644442691883,6,Fail,High,65.08918494123621
12,4.364253381916806,27,97,2.477935495281546,19,Fail,High,71.64992527375685
13,9.829759866750887,35,99,4.920466921589147,22,Fail,High,73.20580294242981
14,3.4055797104309793,52,50,1.084741803365063,8,Pass,Medium,90.6140353736618
15,6.780691243751095,37,59,1.244277405511955,1,Fail,High,83.85987925054575
16,2.824949083806114,66,67,4.400241533803449,32,Pass,Low,84.44665375022964
17,2.237762026073696,81,89,0.9379744016758074,25,Pass,Low,90.07429127721916
18,1.4439404864780747,41,96,2.45905002014426,39,Pass,Medium,76.27141564069267
19,0.9648854136610463,22,97,1.4125530622608284,15,Fail,High,66.92819358274886
20,5.192159820364781,68,68,2.30741280880188,48,Pass,Low,85.85674602644139
21,3.3615892464982124,51,97,0.5531095714150258,33,Pass,Medium,79.8241417217209
22,3.112706878034132,26,61,3.726679585213259,17,Fail,High,73.5139546562776
23,3.1434163373831914,30,78,1.6434737113832465,5,Fail,High,80.37659748412526
24,7.635783913238827,80,63,4.6458438731436456,46,Pass,Low,88.87391172058943
25,8.349372307021088,80,85,1.6547509583256304,22,Pass,Low,89.10545118031122
26,5.629932901473041,34,89,2.5246284429267236,49,Fail,High,67.60201319339264
27,4.3034780543184805,100,86,3.14270953285549,42,Pass,Low,93.5421780305275
28,5.597281090994841,11,99,0.6138517048141834,27,Fail,High,67.39219355301297
29,9.850434460403093,11,75,3.6487646874371342,35,Fail,High,64.96242324780258
30,7.6722984727797305,75,75,4.841842996890936,47,Pass,Low,89.84349102017396
31,4.421760335490569,94,56,0.5360429198629119,1,Pass,Low,94.93129956604466
32,1.5573248062420886,53,60,0.8481689338288761,1,Pass,Medium,73.95044693280882
