Student_ID,inactivity_score,poor_performance_score,inconsistent_engagement_score,study_hours_per_week,attendance_rate,previous_failures,dropout
1,51,62,56,4,78,1,1
2,92,21,45,15,74,5,1
3,14,10,7,6,75,4,0
4,71,57,9,0,71,2,0
5,60,56,72,8,82,4,0
6,20,76,66,17,75,0,0
7,82,3,10,2,61,1,0
8,86,85,11,23,69,1,0
9,74,6,9,27,63,1,0
10,74,60,24,9,50,1,0
11,87,53,48,8,80,5,0
12,99,87,48,12,97,2,0
13,23,67,88,34,99,3,0
14,2,91,10,22,50,0,0
15,21,78,61,16,59,2,0
16,52,0,35,6,67,4,0
17,1,54,38,15,89,3,1
18,87,2,52,39,96,3,0
19,29,77,89,35,97,1,1
20,37,37,77,19,68,2,0
21,1,0,55,23,97,4,0
22,63,37,0,4,61,1,1
23,59,84,55,5,78,1,1
24,20,28,3,27,63,5,0
25,32,4,29,4,85,0,0
26,75,73,11,38,89,3,0
27,57,91,34,37,86,4,0
28,21,20,76,1,99,3,0
29,88,70,51,38,75,2,0
30,48,66,30,20,75,0,1
31,90,46,86,39,56,1,0
32,58,83,67,36,60,0,1
33,41,82,51,17,75,1,0
34,91,34,79,11,61,0,0
35,59,67,6,16,57,1,1
36,79,68,21,36,60,3,0
37,14,0,92,37,90,3,1
38,61,67,74,14,78,3,0
39,61,11,55,6,67,3,0
40,46,59,96,13,83,0,0
41,61,26,57,0,82,1,0
42,50,55,92,37,93,3,0
43,54,22,63,2,73,0,0
44,63,24,11,36,59,1,0
45,2,20,6,30,53,0,0
46,100,60,54,12,58,5,1
47,50,62,61,17,91,3,0
48,6,51,89,16,84,2,1
49,20,87,72,16,83,0,1
50,72,24,97,10,79,3,1
51,38,54,76,19,96,4,1
52,17,45,54,9,72,1,1
53,3,31,35,28,92,5,0
54,88,54,88,33,98,3,1
55,59,95,23,16,77,4,0
56,13,4,43,12,89,0,0
57,8,35,16,38,94,0,0
58,89,48,1,26,70,4,0
59,52,57,12,25,93,5,0
60,1,38,30,27,64,4,0
61,83,79,92,12,85,1,1
62,91,96,27,11,100,0,0
63,59,84,59,27,70,4,0
64,70,60,26,1,86,2,1
65,43,8,14,36,70,2,0
66,7,5,94,33,58,4,1
67,46,34,78,22,59,1,1
68,34,38,32,28,71,0,1
69,77,21,19,34,76,2,0
70,80,40,41,10,64,4,0
71,35,4,11,32,73,4,0
72,49,41,100,10,53,3,0
73,3,86,72,8,58,4,0
74,1,80,22,13,75,1,0
75,5,75,71,8,97,2,0
76,53,86,95,38,99,3,1
77,3,79,13,2,87,2,0
78,53,66,90,28,88,2,0
79,92,29,24,18,62,1,1
80,62,56,76,35,88,4,0
81,17,85,84,31,74,1,0
82,89,72,30,6,52,4,0
83,43,28,100,27,60,3,1
84,33,36,53,17,73,1,0
85,73,86,4,4,57,1,1
86,61,12,12,22,82,5,1
87,99,31,27,21,70,0,1
88,13,45,42,25,59,1,0
89,94,22,88,11,94,5,0
90,47,44,98,39,95,0,1
91,14,16,46,18,62,4,0
92,71,84,70,0,91,4,1
93,77,65,37,2,73,4,1
94,86,100,95,26,98,5,1
95,61,5,66,17,81,5,1
96,39,17,61,29,65,0,0
97,84,93,38,1,97,4,1
98,79,21,36,4,97,2,1
99,81,32,85,28,58,1,0
100,52,29,7,32,83,5,0
101,23,80,80,19,97,5,1
102,25,31,51,29,67,5,0
103,88,41,90,4,55,0,0
104,59,77,32,20,81,4,0
105,40,9,80,14,100,2,1
106,28,35,41,19,65,1,0
107,14,33,75,7,97,1,0
108,44,72,26,30,72,4,1
109,64,27,7,11,94,2,0
110,88,10,22,20,96,0,0
111,70,77,63,29,75,5,0
112,8,38,92,26,67,5,0
113,87,46,19,25,53,4,0
114,0,18,15,32,90,1,0
115,7,14,16,25,82,5,0
116,87,27,79,25,91,1,0
117,62,23,18,35,69,1,0
118,10,71,7,39,77,4,0
119,80,8,37,0,67,3,1
120,7,46,37,14,92,3,0
121,34,32,52,0,65,3,1
122,34,61,92,10,56,2,0
123,32,96,99,1,95,4,0
124,4,18,89,0,98,1,0
125,40,66,30,30,50,5,0
126,27,73,43,15,97,2,0
127,6,39,59,21,62,3,1
128,72,46,75,17,72,0,0
129,71,64,16,16,73,2,1
130,11,28,78,29,65,2,0
131,33,49,72,9,50,4,1
132,32,97,38,34,85,5,1
133,47,12,41,20,77,2,0
134,22,0,47,15,96,5,0
135,61,33,11,5,89,4,0
136,87,92,95,2,89,0,0
137,36,47,88,40,95,1,1
138,98,76,17,20,94,1,1
139,43,47,78,12,82,3,0
140,85,48,95,17,76,3,0
141,90,63,5,23,68,0,0
142,34,60,42,26,54,1,1
143,64,28,34,3,73,3,0
144,98,38,97,21,85,5,1
145,100,87,53,23,98,2,1
146,46,25,61,39,52,4,1
147,77,16,68,9,84,3,1
148,2,70,81,1,88,0,1
149,0,12,15,39,60,1,0
150,4,68,7,5,66,0,0
151,89,25,88,17,56,4,0
152,13,48,95,16,74,4,0
153,26,66,89,37,93,0,0
154,8,6,85,22,64,3,0
155,78,57,30,29,86,3,1
156,14,48,9,20,85,1,0
157,89,52,55,9,99,5,1
158,41,64,75,12,97,1,1
159,76,61,91,11,51,2,1
160,50,16,69,8,52,5,0
161,62,42,19,3,87,2,0
162,95,24,4,38,93,1,1
163,51,2,22,23,90,5,0
164,95,78,8,33,69,5,0
165,3,28,57,38,59,2,0
166,93,31,58,40,72,0,1
167,100,25,92,4,53,3,1
168,22,15,79,14,66,5,0
169,14,24,53,3,98,5,0
170,42,53,45,38,76,2,0
171,28,27,21,7,70,5,1
172,35,72,63,23,79,2,0
173,12,55,7,27,90,0,0
